scramble,orientation,cross,pair_fr,pair_bl,pair_fl,pair_br,oll,pll,total_moves
D2 L R' B2 R U R' U2 D F U F' U2 L R' B' R2 U R U L' R,x2,R' D2 U' B F L',L2 U' L U L2,U R' U' R,B' D' R D B,B' U' R' U' R2 B' R' B2,F B' U R U' R' F' U' B,U L' U2 L F R U' R' U' F' U' L F' L' F U',53
B' U D' B' L' B' F2 D' L2 R' D' U2 R2 D' B2 F2 L D U R D' B D2 R,x2,B' D2 F L B,U2 F2 D F' U F D' F2,U R' U2 R,F' R' F' U R F,U2 F' L2 F L2,F R U' B U B' U R' U' F',U2 U' B2 D' F2 D' L2 F' D' B D2 F' D B,52
L U2 R' U L' B' D2 U R' B' R' U2 R2 B2 F2 U2 L2 R' B' F' U2,x2,L2 B2 L' D' B' F',U2 L D2 R D2 L',R' U2 R' U2 B' R' B U2 R2,D2 L U2 L' D2,U L B U B' U' L',U' F B' U' R' U R B U F',U' F2 L2 U' L2 D F2 D' F2 U F2 U2,55
R' B' D L2 F2 D' L' F2 U B' R F' B' U2 R2 D2 B R F' L F,x2,L2 F D F L B,U' R2 F R2 U2 F',U' B U B',R U2 B U B' U R',B' R B' R' B2,B' R' F R' F' R2 B,L2 U F' B L2 F B' U L2 U',45
B F2 L' R' U B2 F L2 R2 B2 F2 L2 D2 U' F' B' L2 R2 B U L' D2 L' B' F',x2,R2 F2 D' B2 R D',F U2 F' U' F U F',L R' U L' R,R B' R B R2,B2 D' R2 D B2,U2 F' L' U' L2 U F U' F' L' F,U R' U L' U R U2 F R B2 R' F' B2 U L U',55
R' L' U' L B' R' B U R2 U L B2 D R L F2 U R D2 B' L' B' L D L',x2,B2 F L R F' D,F U' R2 F R2 F2,B L' B L B2,R' D B2 D L' D2,L F' L F L2,U2 B L F U2 F' U L' B' R' U2 R,L R U2 R' U' R U2 L' U R' U2,51
D2 U' B' R U R2 L' D F' U' D2 F' R2 F U2 B' R' B R2 B2 R' L2 B',x2,F' D L' F' D,B2 L' B2 U2 L,F R' B' R' B R F',R B U B2 R B R2,R D B' D' R',B L F U2 F' U L' B' R' U2 R,U2 R2 B2 R F R' B2 R F' R U2 U2,52
U R L' D U R' U D2 B L D2 L' D R' B2 D2 U' F U2 R F2 D' L2 D,x2,R2 D B L2 R F',L2 U R' U' L2 R,B2 U B' U' B2,U2 R' D2 L' D2 R,L F' L F L2,U' R' F' R B R' U' F U R B',L' U2 L F R U' R' U' F' U' L F' L' F U',54
F' B2 R2 U' R2 L' U2 R' D L' D2 R F2 B2 L2 D2 U' F' U L2 R2 D,x2,U2 F R' B L' D' R2,B U' F U2 B' U2 F',B U' B' U R' U' R,L U2 L' F' U' F,B U' B' U2 B' U B,F2 R2 B' R2 F' R B2 U2 B' R' F',U' R2 B2 R F R' B2 R F' R U2,56
D L B U2 R B2 D2 U2 L U' D2 L2 F' L R F' D U F' U',x2,D2 F L2 R' D' L',L U' L2 U' L,R2 D' R U' R' D R2,R B U B' U R',U2 R' U2 R B' U' B,U F R U R' U' R U R' U' F',U2 R2 B2 R F R' B2 R F' R U2 U,54
