scramble,orientation,fb,2x2x3,EOPair,LXS,co,pll,total_moves
F2 D B L2 F2 U R' L' D2 L2 U2 F' L B2 L D' L2 B2 U' R',x x,B' D' L U' R' U' B' L D',U2 L F2 L',R U2 R U' R2,R2 F' U' R' U2 R U F R2,U2 B' U2 B2 U B2 U B2 U2 B',B2 D F2 D R2 F D B' D2 F D' B' U' U2,51
B2 R' U D' R F B' R' L2 D2 F' U D' F2 B' L2 R B2 F L' U,x x y,D B' F2 R' D' L2 F' R2 B',B2 F2 R' D2 F2 L',B2 U2 L U L',F D' F' U2 F D F',B' R' U' R U B,U B' F' L' U2 L B F R2 D B2 D' R2 U,47
L2 R2 B U2 F2 B2 D' U2 B' U R B' L' F2 U' R2 L2 D' R' D2 R2 F B R2 U,x x,U2 B2 U' B' L U F2 D F,U' L2 R' D' L2,R U' R2 U' R,U' R B2 U B2 D' R2 D U2 R',B' U2 B2 U B2 U B2 U2 B',U2 R' U L' U R U2 F R B2 R' F' B2 U L U',54
F2 U' L2 F' B2 R' U2 B' F2 D L R' B' R2 D F2 R2 F2 R' F2 U,x x y,U R B2 F2 L2 U' F D' B R,R' F2 D2 L' F2,U' B2 L U L',B' U2 B U2 B R B' R' B,L' U2 L2 U L2 U L2 U2 L',F2 U R' L F2 R L' U F2 U' U2,49
F' D' B2 D R2 F' B' L2 F2 L R B2 F D L' B R' L2 B L' R D2 L' R,x x y,F2 R2 B' L' B' D' R2 F,F2 D F2,,U R' U2 R U2 R' U2 R,B' R' F R' F' R2 B,U' U' L U2 L2 U' B L D L2 D' B' L' U L,41
R' F L U2 L2 B L' F U2 R2 F D U L2 U R' F2 L F2 U' L2,x x y,U' L' F' D' B2 F' L2 R' F,B F' L2 B' F,L U L' B2 U2 B2,L' U B2 U2 B2 U' L,R' F R F' U2 R2 B' R' B R',U' L U2 L2 U' B L D L2 D' B' L' U L U2,52
B2 U2 L R2 F' L D L2 F' U B2 D R' D2 U2 F' D L2 R2 U2 B2 F2,x z x,U2 F2 R U' B D R' U' B,U B2 D' B2,U L F2 L' U F2,U L' U2 L U L' U' L,B' U F U' B U F',U2 L2 B2 U' B2 D L2 D' L2 U L2 U,46
R2 L2 U L B2 U' F2 B' L D' U2 R' B' R2 U R U' B' U' R2,x x y,F' U' B' R' B R2 B' R D2,B F R2 B' F',L' B2 L2 U L' U B2,U2 U' R B2 R2 U R2 B2 R',B' U F U' B U F',U' F U' R B' R' F' R B R' U' F U2 F' U2,52
B2 D' B2 R' U R' F2 L' F U R' L' B' F2 U2 F U L F' D2 F2 R B' F2 D,x x,L' R2 F2 D' L B' F' L' D',U2 L2 D R2 D L2,D R' U2 R D',U B2 D' R' D R B2,U F' L' B' L F L' B L,U' B2 R U' L U2 R' U L' R2 B2 R2 U B2,50
R2 L2 B F2 D R' L D' B2 F' D' U' R' F L2 R' U B' R' D R,x z x,F' L' R2 D' L U2 F' L2 R,U2 B2 D' B2,F2 R' F2 R2 U R',U2 U' L' R' U L U2 F2 U R,B' R' U' R U B,U2 F' L F L' U F B L U L' U2 F' U B',50
F' U' R D R' F U B2 U2 B D2 L' U' L U2 R U B2 D B U2 D F' R2 F2,x x y,D U2 R' U' L2 B' L' F' D,B2 U F2 D' F2,R' U R U' B2,U' L' U' B2 U L R' U2 R,U2 L' U2 L2 U L2 U L2 U2 L',U' L2 D' R2 D' F2 R' D' L D2 R' D L,51
L' D2 U' L' B U B U2 B U2 B' L2 D2 F' R' D2 L2 U2 R' F' U' B2 L' D R,x x,B2 R' D B R2 B2 F L' D2,L2 D' L2,D' L F2 L' D R',U' B' D U2 L' B2 L D' U2 R B,F R B' R B R2 F',U B L' B2 D2 L' F R F' L D2 B2 L B' U',51
B' L' F U F U' F2 D L2 R' B D U' F2 D L2 F2 D' F2 B D2,x x,L' R2 B' R2 B2 U2 L',U2 L2 D L2,R U R2 U' R2,U R' U' R U' R' U R2 U R,,U F2 L2 U' L2 D F2 D' F2 U F2 U,38
F B R F2 R F R B F U' R F2 U' F D U2 R2 F2 D R F' R B,x z x,L2 F' R' B F' U' R F2 D2,B2 R D2 R B2 L,U F2 U' R U R',U2 D' F2 U2 L' F2 L U2 F2 D,U' R' F' L F R F' L' F,U' B' F' U2 B F L U' R U2 L' U R',53
L' F2 R D2 L B2 L B' F2 R B F L U' D2 F2 D2 L' F' L B2,x x y,R2 B U' F' L D2 R' B' F' D,F2 L2 F2 U' B2 R2,U' B2 U2 B2,U2 B2 L U L' U' B2,L' U' B' U B L,U2 L' U R' U2 B' U B L R U B' R B R',48
F L' D' L' U2 F2 D2 B2 R D' B2 L2 R U2 L2 U' F2 B2 R' U' B,x x,D2 L R2 B' U L2 D L' B,U L2 R D L2,U2 R U R2,L' B2 R2 B2 L,U B' U2 B2 U B2 U B2 U2 B',U L2 U F' B L2 F B' U L2 U' U',45
L2 D' U2 L U B F D R' D' L' D R B2 U R2 L2 B2 D2 L' R2 F,x x,D' U' B2 F R B U' L' F',L2 D R' D' L2,R2 U2 R U' R2,R' U' R' U R2 U R',U F' L F L' U2 F2 R' F' R F',U2 B L' B2 D2 L' F R F' L D2 B2 L B' U',52
U' B2 L R2 F' U' D2 B F R2 F' U2 R2 L' D B' D L' F' U R' D2 U' B2,x z x,F U L' D F2 U R2 B R,B2 F2 R D2 B2 L,R U2 R' F2 U F2,U2 U R' F2 R U2 R' F2 R,L' B L B' U2 L2 F' L' F L',B' R B' R2 F R' F' R2 B2 U',50
B U B2 U2 B U2 F' R D2 L' R' D2 B' D U2 F' U D L2 D' F R2 B2 L' B2,x x,F U' F2 D B' F' R' D2 F,L2 D' R D' L2,R U2 R U' R2,U U B' U' R2 U R2 B R U2 R',F U2 F' U' F U' F',U L R U2 R' U' R U2 L' U R' U,49
B U R D2 U' L2 B' L F B' R2 F' D' L R2 U2 B' U2 L B' R' D2 L' D R,x x,B' L' D R' U F2 L F' D2,R2 U' L2 D L2,U R U' R2,U' R U' R' U R' U' R U R,B' U' R' U R B,U2 F U F' R' D' F2 D F R U' F2 U2 F U U,50
D' B R2 D2 L R2 B U' L2 U' L2 U2 F' D L2 R' F' U2 D' R' D U,x x,U2 B2 R' F2 L2 B F' L',L F2 L D2 L2,U R' U' R,U' F' L U2 L' U2 F U2 B2 R B2,U B' U2 B2 U B2 U B2 U2 B',U2 U' F2 D' L2 U L2 F2 D R2 U' R2,50
L2 U2 L F' U' R' U L2 R B' D L U D' B L2 R2 B' D B L U2 D' B,x x,B' R D U' F2 R B2 U B,U' L2 R' D' L2,R' U2 R U' R2,F' U' B' U F U' B,U' B' U2 B2 U B2 U B2 U2 B',U2 B' R B' L2 B R' B' L2 B2 U,47
B R L' F' R2 D F' D U R' U2 R' U F' D2 F' L B F' D2 L2,x z x,B R F2 L2 F U B U L B2,L2 B2 R' F2 R2 B2,R U L' U' L R',U' L' R' U L U2 F2 U R,F R2 B' R' B R' F',U B' U2 B U L B' U F U' B U2 F' L' U',53
B' U F2 B U2 R U B' F D2 L' D L B2 R D' U' F U L U,x x,B L R' F2 R B' U L B',L2 D R D L2,U R2 U' R2,U' F' U F U B' R2 B,L' U' B' U B L,U B' R' U2 R U' B L' B L B2 U' B,45
F U' L2 F2 L' U' B2 F U2 L' U' B2 D B2 L2 D L2 F' B' D2 U F',z z,L2 F2 D' F L' D2 F' D F',U2 L R2 D' R2,L2 U' L U L2,F' L U' L U L2 F,F' U2 F2 U F2 U F2 U2 F',U' R' U2 R B L U' L' U' B' U' R B' R' B,50
R D2 L2 D2 B L' U F D' L2 R2 D' B' F2 D L2 B' D2 B' D',z z,D2 U2 B' L' D' B2 L' F',D2 L' R F2 R',L2 D' U2 L U' L' D,L' U2 L U2 L2 U' L',U' F' L' B L F L' B' L,F2 L U' R U2 L' U R' L2 F2 L2 U F2 U,50
D' B D' U2 L U' L2 R U2 D2 F B' R D2 B2 R2 L B' R2 F',x x,B R B F L' D' R F U2 B,L2 R2 D' L2,U R' U R' U' R2,U2 U' B U' F2 U B' U' F2,F R B' R B R2 F',U' U B U' B' U2 B2 U L U' L' B' U' B' U',51
B2 D2 B U L2 D2 F2 D2 R2 U' L D2 F' R' F2 U2 F R2 L' U B' F,x x,D R2 D2 L D2 B' L' R' B,U2 R2 U L2 D L2,R2 U2 R2 U' R,R' U' R U' R U2 R,B' U' R' U R B,U2 R2 D B2 D' R2 F' B' L' U2 L F B U2 U',48
F R2 B' F L2 U2 B2 F R' L2 D' F R' L D2 U' L2 D2 L F L,x x,U2 L2 U L' D' B L2 U2 B2,L2 D' R D L2,U R' U' R2,U2 U R U2 R2 U2 R' U2 R,B' U F U' B U F',U2 B' R B' L2 B R' B' L2 B2 U2,45
D2 B F' U' D' F' L2 D2 L2 D' U' B2 R' D' U2 R2 L D' L' U',x x,B' U' B2 D R B' F R D,L2 D R' D' L2,R' D' U' L F2 L' D,U' F' R' F R' F' R2 F R2,U2 F' L' B' L F L' B L,R2 F' U2 F2 R2 B' D2 B2 D2 R2 F' U2 R2 B2,53
U' D F R2 L2 F2 D' B' U R' B' L' U L D2 L R F2 D' R2 D2 R L B F2,x x,R2 F U' L' U2 R' D' B,U L2 R' D L2,R2 D' U' L F2 L' D,U2 U' R2 D' F2 U2 F2 D R2,L' B' U' B U L,U F R' F R2 B' R B R2 F2 U2 U,47
F2 R' D L R2 B U2 L' U2 L' U2 D R2 L B D2 L' B L' U D' B' U',x x,L2 R' D2 U' L' B2 F' U L B',L F2 L D2 L2,D R' U' R D',U U2 R2 D R' U R D' R2,U B' U2 B2 U B2 U B2 U2 B',U2 L R U2 R' U' R U2 L' U R' U',51
R' F R F L' U F' R2 B R2 U2 F2 R L2 F R L' B D B R,x x,D U2 L' B R F R D' F,U2 L2 D R2 D L2,U R' U R2,U2 L' B2 R D' B2 L2 U' F2 L',B' R' U' R U B,U2 U' R2 F2 R U F U R U2 R' F' U' F' R U,51
B F D B F' L2 U' F B' L D F' D2 R' D' U' F R' U' L B F D2,x x,L' D' L U F D2 L D2 B2,L2 D2 L B2 L,U2 R' U2 R' U2 R2,U R' U' R U R,F R B' R B R2 F',F' U' B U' L' U2 B L D L D' B2 F U',47
R2 F2 R B2 R2 B2 U R' F D2 F2 U2 D' L2 R D' L R' D U2,x x,R2 B2 F R F R2 U F L2,U L2 D' L2,R U' R2 U' R,F2 U' L' U L F2,F U2 F' U' F U' F',U' B2 D' F2 D' L2 F' D' B D2 F' D B,44
L2 B D L2 R' D2 B R' B' F' D' B2 R2 L' F' L B' L D L2 B F' D R L',x z x,U' L2 F' L' R2 B' D U' R2,B2 D' F2 D' B2,R U2 R',F U' F' L2 B' U' B U L2,B' R' U' R U B,U2 U' L U2 L' U' B' R' U2 R U B U,45
F' R2 U D' B2 U R2 D' U' B' R2 U D' B' R F2 L' B2 D F L,z z,B F R2 D' U2 R' U' B' R',L2 R2 D' R2,U2 L' U L' U' L2,U' L' U2 L' U L2 U L,F U2 F' U' F U' F',U F2 D B2 D L2 B D F' D2 B D' F' U' U',49
R' U B' L B' D L' D B' R' D2 R' F2 B L2 B2 R B D2 L' F' B2 U R2,x x y,D2 R' B2 F' L B F U' F2,F2 D' R' B2 R F2,L2 F2 D R D' F2 L2,U2 U' R' U' R U L' B2 L,U R' F' L' F R F' L F,U' B' U F' U B U2 R B L2 B' R' L2 U F U,56
D L B U2 F' U2 F L2 F U2 F2 D' L D B2 D' B2 F2 L U,x x,R' D' L B2 R2 F L' U2 L',L2 D R D' L2,R U R2 U' R,U2 U F2 L D' L D L2 F2,F' L F L' U2 F2 R' F' R F',B U L U' L' B2 U' R' U R B U U,51
B R2 L B' D B2 L2 D B F2 D F' R' U' L F2 B U F' B2 D2 F2 B',x x,L2 F U' L' R' F2 U L2 B,R2 U' L2 D' L2,R2 U R2 U' R,B' F R2 B F' R U' R',U B' R' F R B R' F' R,U U' F2 D' L2 U L2 F2 D R2 U' R2,48
U F D' B' U F' B' R2 L B2 L U L2 D U R U2 D2 F2 D,x x y,R2 U L' R' F L F,R2 B2 R' B2 R2,U2 L U L',U R' U' R' F2 L D2 L' F2 R2,B' R' F R' F' R2 B,U F2 L2 F' R' F' L' R U2 L2 U' R U' L R' U,49
R' D' R2 U' L U' F R' U2 F R U' D2 F2 L2 B' R B' D' U2 L2 R',x x,D2 U2 F' D' L' U2 R' D2 F,L2 D' R' D' L2,U R,R U' R' U2 R U2 R',B' R2 F R F' R B,F U' F' U2 B L' F' L2 F L B' L' U L U2,45
U' B' D2 F D' B2 D2 B L' F B D' U' B U B2 R' D2 F' B2 L2,x x,L' D' F R2 U2 L' B F' D2,L2 R D' L2,B' F R2 B F' R,U2 R U' L D' F2 D L' U' R,F U2 F' U' F U' F',U' U' F2 D' L2 U L2 F2 D R2 U' R2 U,49
L2 D' R2 L2 F B' D' B' U2 L' D2 B' U B U' D2 L2 B2 F D,x x y,L2 U2 B D' U' L D B L',R2 F2 D2 F2 R2,B2 R' U R U' B2,B2 R F2 U' L U L' F2 R' B2,U2 L' B' R B L B' R' B,U2 L2 D L' U' R U2 L' U R' U' L2 F2 D' L2 U2,55
B D R2 F' D' U2 R' F2 B' U' B' R' L' D R2 B R B' F2 L U2 L2,x x,L B L R2 U' F' L' F',U' L2 D L2,U2 R' U' R2,U2 R U R2 U2 R U2 R,F R2 B' R' B R' F',U U R' L' B' U2 B R L F2 D R2 D' F2 U2,46
D2 U' L F' U2 R' B L F' L U R2 L' F L' R2 F' B2 R U' R B' L2 B U,x z x,B' R' D' B2 U' L' R' D U F',B2 D R F2 R' B2,R2 B2 D L D' B2 R2,U' U' L B2 R' F2 R' D R2 B2 L',L' U' B' U B L,R' U L' U2 F' U F R L U F' L F L',54
D F' U2 L' F' L' D' B' F' R' B2 R' D' F' D B2 F U R2 U D' R' D' R',x x y,D2 F2 U B R B F2 L' R',B2 F2 D' F2,R D B2 D2 R D R2,U2 R' U' R,F U' B' U F' U' B,F' B' U2 F B R U' L U2 R' U L' U',44
U D R' L D L2 U' D F U' R D L R' F' U' D' B D' L2 R2,z z,B' R D' B L2 B L2 B,U R2 D R2,R U' L U L2 R',R' F2 L2 F2 R,U' B' R' F' R B R' F R,U2 R' L' U2 R L B U' F U2 B' U F' U2,46
U R2 U2 L2 F2 D' R U' B' F2 R L B F2 R U2 F R2 U' R2 B' R2,z z,U2 F' D2 U F2 R F,R2 D' L2 D' R2,U' L' U L' U' L2,F B' U2 F' B L' U L',U F' L' B L F L' B' L,U U' F2 D' B2 D' R2 B' D' F D2 B' D F U,50
F' R' L2 B2 U' F2 R2 D' U R B2 F L' D B R2 L2 U B' U' L,x x y,B D2 F' L F D R B L',R2 F2 L' F2 R2,U2 B2 L' B2 L B2,U' L' R' B2 L U R' U R2,U' R' F' L' F R F' L F,U' B2 L2 B R B' L2 B R' B U2 U2,50
L2 B R2 D2 L' F U L U2 L R2 D R2 L' B2 D L D2 L2 U F2 D L2,x x,D F2 L R U' F' U2 L' F,U L2 R' D L2,U2 R' U R' U' R2,U R D' U R U' R' D U2 R',U' F' L' B' L F L' B L,U B' R B' L2 B R' B' L2 B2 U',50
U L' R' D R' U2 L' F' L D' F2 D' U' B2 L' F' R2 F U2 L' D' B',z z,D L' F' D B2 D R B F' R,B2 L' R D2 R',,U U L2 F2 L' F2 L' U F2 L2 F2,U2 F' L' B L F L' B' L,U' F2 D F' U' B U2 F' U B' U' F2 R2 D' F2 U2,51
R B U2 R U2 B' D' R D' B R' B2 D' L' U2 D2 R' F U2 L' U' L F2,x x,U2 B' L' U2 R F2 L F D2,L2 R D R' D L2,U' R,F' U' B' U F U' B,B' R' U' R U B,U F D' R D B F' R' U' R B' U',42
F2 D2 L U' R' L2 F2 L' U2 B D' R F U D2 R' F' B U' L' F' B',z z,B' L B D U B' F2 L' F,U2 L' R2 D R2,L' U L U' L2,U2 F' U L U2 L U L2 U' F,B' R' F R' F' R2 B,U' L' D' B R B2 R' B D L2 F U' F' L' U,51
U F' B' U' F D F' D L2 D' F L2 U2 R F2 R D2 R2 B L D' F' B' U B',x x y,L' R' U' R' B2 L B' D',R2 B2 U2 B2 R2,U2 R B2 R' U' B2 U2 B2,U' R' U R U L' B2 L,R' F' L' F R F' L F,U2 R2 F2 U' F2 D R2 D' R2 U R2,48
U' L2 B2 U2 B F' R F2 U D2 F' B U' R F' U D' L R' F2 D U,x z x,D F' U' B2 L U R F' R2 B',L U L U' L',U' R U2 R',U2 U L2 U2 L U L' U L2,F U2 F' U' F U' F',U2 B2 U L' R B2 L R' U B2 U' U2,47
U2 D' L2 U F2 L D B R2 F2 R' U2 L2 F2 L B' D U L' D2 R2 B2 R F2 D,x z x,D' F U2 R2 F D' L D,U2 B2 D B2,F2 R U' R',R B2 D L' D' B2 R',B' R' F R' F' R2 B,U L2 D R B L' U2 L B' R' F2 D' L2 U U2,45
F' L B U' B D2 R L2 F B' D L2 D F2 R F R' F D' R' F,z z,F U R2 F2 L B' L' F' D2,B2 R D' R' B2,U2 L' U L2,U F' L B L D L' D' F B',U B' R B R' U2 B2 L' B' L B',F' U F U R2 D L' B' L D' R2,50
D' L2 D B' D U' F' B2 U' F2 U2 D' F' D R' B' D' L2 R U2 D L2 F D,x x,F D' F' R' D2 R' F' L,R2 U L2 D L2,U R' U2 R2,U' B' R U' R U R2 B,U F' L' B' L F L' B L,U L' U2 L F R U' R' U' F' U' L F' L' F,49
R' D2 L2 F R B2 D' L2 B2 R2 L' B D2 R L F D B D B2 F R' U D,x x,U2 R2 U' F' R' D2 B,U' L2 R' D L2,U2 R2 U' R,B' F R2 B F' R U2 R',F' L F L' U2 F2 R' F' R F',R B U' B2 D' R2 D R' F R2 B2 F' U2 B' U2,49
R' U R2 U F B2 U' D F' B2 R' L2 B' F' U' B' R2 L' U' L2 R',x x,F U2 L' U2 F R' B L2,U' L' B2 L,R2 U' R2 U' R,B' R2 U' R2 U B,U2 F' L' B' L F L' B L,R' D B2 L2 D L' F2 L D' L2 B2 D' R U2,46
U2 R2 F' B2 L2 R F U2 R2 F' L F R U R' L2 F2 D' F' R B' F' D2 B,x x,U2 B R2 D2 R B L2 F' D2,U2 L2 R D' L2,B' F R2 B F' R,U2 U' B2 F2 L D2 L' B2 F2,U B' R' F R B R' F' R,U L U' F R' F' L' F R F' U' L U2 L' U',53
U B2 U' R' F2 R2 U F2 U' B2 U2 R2 F' L' F2 D2 B R' L F',x x,D' R2 U B L F' R2 B D2,L F2 L',R2 D' U' L F2 L' D,B2 U R2 U' R2 U' B2,B' R2 F R F' R B,U L U F2 U' F R U R' U F U2 F L' U,48
B2 D' F' L2 F2 L B U2 D2 F U' B F R U' F' U R' F B D2 R L',x x y,U' F L2 D R' F D L,F2 D F2,D' R' U2 R D,U2 L2 D2 R D R' D L B2 L,B' U F U' B U F',U2 B2 L2 B R B' L2 B R' B U2 U2,45
U' D' F' L2 B' L B2 R' U' L R2 B U2 B R F' L' U' F' B2 R B' L2,x x,R' B' D' F R B2 L2 U2 B2,L2 D R D' L2,R U2 R' U2 R2,B' R F R F' R B R U2 R',U F' L F L' U2 F2 R' F' R F',B' R' B U' R2 U' B' R' B2 U' B2 R B U R2,55
L2 D' L D U L2 U F' B2 L2 D2 U2 R' L D2 F2 R2 D F2 R' B D2 R2 D2 U',x x,L2 B' L F U F' D' R' F,U' L2 R2 D L2,B' F R2 B F' R,B D2 R F' L2 F R' D2 B',F' L F L' U2 F2 R' F' R F',U' B' R' B' R B' D2 F L' F' D2 B' U,52
R' F2 D' B' F2 U' R2 U' R2 F U D2 B2 F' D2 R' B' L' U' D' L2,x x y,D2 U' F L2 F' L' B D U' F',B2 F2 D' F2,R' U R U B2,L' B2 U' B2 U L,U2 L' B' R B L B' R' B,U' F2 U R' L F2 R L' U F2 U',45
F2 L R2 F R' U' F' B2 D' B2 D' B2 F2 D2 B' L' F' B' U' R',x x,U L F R2 F2 R' D2 U B,L2 D R D L2,U' R2 U' R U R2,U B' D U2 L' B2 L D' U2 R B,B' U F U' B U F',R2 B2 R F R' B2 R F' R U2 U',49
D2 R' F' L' F B D' B' D2 R F2 D R' D U' L' F D' U' R2,x x y,L F L B' D' F2 L2 R',R2 B2 R' F2 L2 D2 F2,U B2 U' L U L',U R' U R F' L' B2 L F,U R' F' L' F R F' L F,L2 D L' U' R U2 L' U R' U' L2 F2 D' L2 U2,54
U2 L' F D' U B D' L B U2 F2 U2 R F2 L B U2 L R' U D' R L2 B' R2,x x,D2 R2 U2 R B2 U2 B' U2 L2,U L2 R D' L2,U2 R2 U' R,U L' B2 R2 B2 L,B' U2 B2 U B2 U B2 U2 B',U' L' B R' U2 L F' L R2 D2 R2 F L' R U',48
F2 B' U' F' D' L' D' B U' B2 U D' B L2 R2 U2 F2 U L' F' D' L D,x x y,R D' R D L' B L2 U2 F2,F2 D2 R' B2 R F2,B2 D L U' L' D',R' F2 L2 D2 B2 D2 L' D2 L' F2,F R B' R B R2 F',U' B' D' R F R2 F' R D B2 L U' L' B' U',53
D U2 L2 U' R F' D2 F2 D2 F2 U F2 U F B R' B D' B2 R D2 F2 R L',x x y,L D B2 F' R D2 U B' D2,B2 F2 D F2,L U L' U' B2 U2 B2,R' U R F' L' B2 L F,R' F' L' F R F' L F,B2 L2 B R B' L2 B R' B U2 U2,47
B' D R2 L U' D2 F' D' B2 D U F' R' U2 B' F R' B U' D,x x,R2 U L B R D2 R2 B D',U2 L' B2 L,R2 U R' U' R U R2,U2 B' R F R D R' D' B F',L' B' U' B U L,U R D B' U B' U' B' U B2 D' U' R' U2,50
F2 D' B2 L F' L2 B2 L B R' B2 R U' F2 R2 D R U' F R2 F2 B2,z z,F' R2 F2 L D2 U2 F' L D,U R2 D' R2,U' L U2 L2 U' L2,U' L' U2 L' U L2 U L,U' F' L' B L F L' B' L,U F' L F' R2 F L' F' R2 F2 U2,47
D2 L D R' L' D' U F D' R D R U D' B2 U2 F2 U2 B2 L2,x z x,U2 F' R2 F2 U B' U' L2,L2 B F' D2 B' F',L' U L F2,U' U2 R' U L' U' L2 F2 R L',R' F' L F R F' L' F,U B' R F' U2 B L' B F2 D2 F2 L B' F U,51
U' R' L2 B' U B2 F L2 B' U' L2 B L2 B' D F B' D L2 F2,x x,D' B F U' R' D' U' R' D2,L2 D R D' L2,U2 R' U R' U' R2,U' B2 R' D' R D B2,F R2 B' R' B R' F',U' B' R' B' R B' D2 F L' F' D2 B' U,47
R' L U B2 D' R' F R' L2 B R2 F2 D2 R' D L D2 U' F2 U,x x,D F' U' B2 L' U' B' D' F',L2 D' R D L2,D' U2 R U R' D,R U2 R2 U' R U R,U2 B' R' F R B R' F' R,L U' F R' F' L' F R F' U' L U2 L' U2,50
F' D2 F2 U D' F' D' R2 U L' R' U B2 F' L2 U' R L F2 U' D' L' B,x x y,D L F D' F' L' D' R B',B F' L2 B' F,R' U' R U2 B2,R2 F2 R F2 L' U2 R B2 L,U' L' B' R B L B' R' B,U' F U' R B' R' F' R B R' U' F U2 F' U',52
B U B' R D U F' R' U L' F2 L2 B U' L2 R' B L' U F2 B U B L B,x x y,L2 B2 D B' R U L,F' L B2 L' F,U' L U L',L' D' R' U R D U' B2 L,B' R' U' R U B,U R U B U L F U2 F' L' B2 R B R2 U',46
D2 F' D U B U2 B' D B L2 B2 L F' U' D2 R2 L2 F2 R' D2 U' B,x x,B' F' U L' D R F',U' L2 R D L2,R',U2 B2 D' R D R D' R' D B2,L U' R' U L' U' R,U' U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,45
B2 L F2 D2 L2 B D F2 R U D' R2 L B R D U2 F2 L B' R,z z,F2 R2 D' F2 R U2 R D B' F,B2 L' U L B2,D' U L U L' D,U F2 D' L' D L F2,B' U F U' B U F',U' B2 U' R L' B2 R' L U' B2 U2 U,47
D' L' B R' U2 L' F' R2 L F2 R' U' F2 L2 F U L' B R' L2 F R2,x x,B D' B' U F2 R' D' U B',L2 D' R D' L2,D R' U R D',R U2 R' U2 R U R',U F' L F L' U2 F2 R' F' R F',B' F' U2 R' U2 R U2 B F' D' L2 D F2 U',51
L B U' D' B' L' B2 D2 L F U' B2 R F2 U R F' B' L' F' U2 B',x x,R D2 B' D F2 R2 U2 R B,U' L2 R D' L2,R U R2,U' U' R' F' U' R' U R U F,L' U' B' U B L,U L' U' L' B' U' B U L2 U2 L' U' L U2,47
L' B2 F R2 L' F' U R2 F D2 L B2 D' L2 F2 D B R2 F2 R2 B U',x x,U2 R' U' L2 B2 F R F D',U2 L F2 L',R' U2 R2 U' R2,R U' R',U' B' R' F R B R' F' R,U F2 U' L R' F2 L' R U' F2 U2 U',42
R B R F R' U2 B' D R2 F2 U2 L F2 B2 U' B2 R B' R' F',x x,F L B2 R2 B U' F' D2 B',U2 L' B2 L,D' L F2 L' D,U2 R U2 B' R B R2 B' R B,U' B' R' F R B R' F' R,R2 F2 D2 L2 F' B' D2 R2 F' B' U',48
U L2 B2 R B2 D R L2 B D' F R' L2 F L U' F' D' F' D2 B R,z z,R' F' D' L2 D2 F2 D2 B' R',R2 D L2 D R2,L U L2 U' L2,R' F2 L2 F2 R,F R2 B' R' B R' F',U2 R U2 B L' D' R B2 R' D L U B' U' R',46
D2 R F B' D F' U' L2 D F' R' D B2 U B2 R F B2 R B' L,x x,L F D2 R' B R2 D' U2 B2,U2 R2 U L2 D L2,R2 U' R' U2 R2,R U' R2 U2 R2 U2 R,F U2 F' U' F U' F',U L U' F R' F' L' F R F' U' L U2 L' U,49
B D2 B' L' F' U2 D2 L U F2 U2 L' R' F U D2 F2 U2 R B2 R D',z z,L' D U' F2 R' F' D F L2 F,L' R2 D' R2,L U2 L2,R' F2 L2 D' L D F2 R,B' R2 F R F' R B,U B' U B U2 B2 U' R' U R B U B U2,46
R2 L2 F2 B' R' D2 L F R2 L2 B' U2 R2 B2 D' U2 R B2 D2 L B D' B2,x x y,L' D L2 D2 B U' R2 B' F' D,B2 U F2 D F2,U L U L',U2 L' B2 L U2 F' L' B2 L F,U L' B' R B L B' R' B,U' B' U F' U B U2 R B L2 B' R' L2 U F U2,54
L' D' R F2 R D' F2 U' L2 D F2 U2 L' B' L2 U' F2 R2 D' R2 B2 D2 F,x x,D' L2 R D R2 B' D R' U F',L2 D' R2 D' L2,U' R' U' R2,U B' R' F R' F' R' B,U2 F' L' B' L F L' B L,U' B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U',52
L F' B' R D2 B2 F2 U F' L' U2 B U' F2 D F' D F L2 U B',x x,R D' B' U' R D2 L B F2,R' U2 L2 D L2,R2 U R' U R2,U U2 R2 U2 R' U' R U' R2,B' R' F R B R' F' R,U' L R U2 R' U' R U2 L' U R' U',48
R' L2 D2 L F2 D2 R' B L F2 U B' L' D' U' R2 B R' B U' B' L U' D2 B2,x z x,F' D' L2 R' B D2 B' F D' F',B2 F2 D B2,D' L' U2 L D,F2 U2 R U2 R' U2 F2,L' B' U' B U L,U2 R2 F2 L F L' F2 R F' R,42
B U B' U' D2 R B2 L2 B2 D' B' U2 L' U B' U2 L2 D' F L D' L' U' F R,x x,F2 L B' D' R' B D F' D' B2,,R U2 R2 U' R2,U' U R' U' R U' R' U R2 U R,L U' R' U L' U' R,F2 U' L R' F2 L' R U' F2 U2 U,44
D2 R U' F2 U D' R' D U L U' B2 L B L2 R B2 F U' F' B' U B F,x x,B U' L' B' R2 D R B D,L2 D' R2 D' L2,R2 U R2,U R2 B2 R' B2 L U2 L' R',U2 B' R' F R B R' F' R,U F' L F L' R' F L R' F L' F' R2 U,49
L2 U2 B D2 L2 U F' U B2 L F' L2 F B2 R' U' R2 B2 R2 L F B' L D2,x x,B2 R2 B2 D R B F2 L' F,U L2 R D L2,B' F R2 B F' R,B D2 B' U B D2 B',U' B' R' F R B R' F' R,U' L2 U F' B L2 F B' U L2 U' U2,48
